age,education,marital-status,occupation,race,sex,hours-per-week,native-country,income
79,Some-college,Married-civ-spouse,Prof-specialty,1,0,20,1,0
27,HS-grad,Never-married,Other-service,1,0,40,0,0
40,Assoc-acdm,Married-civ-spouse,Adm-clerical,1,0,40,1,0
67,10th,Married-civ-spouse,?,1,0,2,1,0
18,11th,Never-married,Other-service,1,1,22,1,0
31,7th-8th,Married-civ-spouse,Farming-fishing,1,0,40,1,0
18,HS-grad,Never-married,Sales,1,0,30,1,0
52,Bachelors,Married-civ-spouse,Other-service,1,0,40,0,0
46,HS-grad,Married-civ-spouse,Other-service,1,1,40,1,0
59,HS-grad,Married-civ-spouse,Sales,1,0,48,1,0
44,HS-grad,Divorced,Craft-repair,1,1,40,1,1
53,HS-grad,Divorced,Sales,1,1,35,1,0
49,HS-grad,Married-civ-spouse,Protective-serv,1,0,40,1,1
33,Masters,Married-civ-spouse,Prof-specialty,1,0,50,1,0
30,9th,Never-married,Sales,1,0,40,1,0
43,Doctorate,Never-married,Prof-specialty,1,1,50,1,1
57,Assoc-voc,Married-civ-spouse,Prof-specialty,1,0,40,1,0
37,Some-college,Divorced,Craft-repair,1,1,40,1,0
28,Some-college,Divorced,Machine-op-inspct,2,1,25,1,0
30,HS-grad,Married-civ-spouse,Sales,3,1,35,0,0
34,Bachelors,Married-civ-spouse,Protective-serv,1,0,40,1,1
29,Some-college,Never-married,Handlers-cleaners,1,0,50,1,0
48,Doctorate,Married-civ-spouse,Prof-specialty,1,0,60,1,1
37,Some-college,Married-civ-spouse,Sales,1,0,48,1,1
48,Assoc-acdm,Divorced,Exec-managerial,1,1,40,0,0
32,HS-grad,Never-married,Other-service,2,0,40,1,0
76,Masters,Married-civ-spouse,Exec-managerial,1,0,40,1,1
44,Bachelors,Married-civ-spouse,Exec-managerial,1,0,60,1,1
47,Masters,Never-married,Prof-specialty,1,1,50,1,0
20,Some-college,Never-married,Tech-support,1,1,40,1,0
29,HS-grad,Never-married,Craft-repair,1,0,40,1,0
32,HS-grad,Married-civ-spouse,Craft-repair,1,0,40,1,1
17,10th,Never-married,?,1,1,32,1,0
30,11th,Never-married,Handlers-cleaners,1,0,40,1,0
31,HS-grad,Never-married,Adm-clerical,1,1,40,1,0
42,HS-grad,Married-civ-spouse,Handlers-cleaners,1,0,40,1,0
24,Bachelors,Never-married,Sales,1,0,40,1,0
38,Prof-school,Married-civ-spouse,Prof-specialty,1,0,40,1,1
56,HS-grad,Married-civ-spouse,Other-service,1,0,50,0,1
28,Some-college,Married-civ-spouse,Sales,1,1,25,1,0
36,HS-grad,Never-married,Machine-op-inspct,1,1,40,1,0
53,9th,Married-civ-spouse,Handlers-cleaners,1,0,50,1,0
56,Some-college,Married-civ-spouse,Sales,1,0,50,1,0
49,Assoc-voc,Married-civ-spouse,Craft-repair,2,0,40,1,1
55,Some-college,Married-civ-spouse,Sales,1,0,56,1,0
22,HS-grad,Never-married,Craft-repair,1,0,41,1,0
21,Some-college,Never-married,Other-service,1,1,40,1,0
40,Bachelors,Married-civ-spouse,Exec-managerial,1,0,60,1,0
30,Bachelors,Never-married,Exec-managerial,2,0,40,0,0
29,Bachelors,Married-civ-spouse,Prof-specialty,1,0,50,1,1
19,Some-college,Never-married,Other-service,2,0,35,1,0
47,Bachelors,Married-civ-spouse,Exec-managerial,1,1,40,1,1
20,Some-college,Never-married,Adm-clerical,1,1,28,1,0
31,Assoc-acdm,Married-civ-spouse,Adm-clerical,1,0,40,1,1
35,HS-grad,Married-civ-spouse,?,1,0,40,1,0
39,Some-college,Divorced,Craft-repair,1,0,40,1,0
28,Assoc-acdm,Never-married,Sales,1,1,60,1,0
24,HS-grad,Never-married,Other-service,1,1,40,1,0
38,HS-grad,Married-civ-spouse,Craft-repair,1,0,35,1,0
37,Bachelors,Married-civ-spouse,Sales,1,0,50,1,0
46,Assoc-acdm,Divorced,Tech-support,2,1,36,1,0
38,Masters,Married-civ-spouse,Prof-specialty,1,0,40,0,1
43,HS-grad,Married-civ-spouse,Craft-repair,1,0,60,1,0
27,Assoc-voc,Married-civ-spouse,Adm-clerical,1,1,35,1,0
20,Some-college,Never-married,Sales,1,0,20,1,0
49,Some-college,Married-civ-spouse,Craft-repair,3,0,40,1,1
61,HS-grad,Married-civ-spouse,Craft-repair,1,0,40,1,0
27,Some-college,Never-married,Sales,1,1,40,1,0
19,Some-college,Never-married,Other-service,1,0,30,0,0
45,Assoc-voc,Never-married,Prof-specialty,1,1,40,1,1
70,Some-college,Never-married,Tech-support,1,0,40,1,0
31,HS-grad,Never-married,Transport-moving,2,1,30,1,0
22,Some-college,Married-civ-spouse,Other-service,1,0,24,1,0
36,HS-grad,Widowed,Other-service,1,1,24,1,0
64,11th,Married-civ-spouse,Craft-repair,1,0,40,1,0
43,Some-college,Divorced,?,1,1,40,1,0
47,Some-college,Divorced,Adm-clerical,1,1,38,0,0
34,HS-grad,Never-married,Adm-clerical,1,1,40,1,0
33,Bachelors,Never-married,Exec-managerial,3,1,40,0,0
21,HS-grad,Never-married,Craft-repair,1,0,35,1,0
52,HS-grad,Divorced,?,1,0,45,1,1
48,HS-grad,Married-civ-spouse,Craft-repair,1,0,46,1,0
23,Bachelors,Never-married,Handlers-cleaners,1,0,40,1,0
71,Some-college,Separated,Sales,2,0,2,1,0
29,HS-grad,Divorced,Craft-repair,1,0,60,1,0
42,Bachelors,Separated,Other-service,2,0,50,1,0
68,1st-4th,Divorced,?,1,1,20,1,0
25,HS-grad,Never-married,Other-service,1,1,40,1,0
44,Masters,Divorced,Exec-managerial,3,1,40,1,0
28,HS-grad,Never-married,Exec-managerial,3,1,40,0,0
45,Masters,Married-civ-spouse,Sales,1,0,40,1,1
36,Some-college,Divorced,Other-service,1,1,40,0,0
39,Assoc-acdm,Never-married,Exec-managerial,1,0,42,1,0
46,Masters,Widowed,Protective-serv,1,0,40,1,0
18,11th,Never-married,Handlers-cleaners,1,0,16,1,0
66,Assoc-voc,Widowed,Prof-specialty,1,1,20,1,0
27,HS-grad,Never-married,Other-service,1,0,40,1,0
28,HS-grad,Married-civ-spouse,Protective-serv,1,0,40,1,0
51,Some-college,Married-civ-spouse,Sales,1,0,40,1,1
27,Bachelors,Never-married,Craft-repair,1,0,50,1,0
28,Bachelors,Married-civ-spouse,Prof-specialty,1,0,40,1,1
27,HS-grad,Married-spouse-absent,Sales,1,1,25,1,0
21,HS-grad,Never-married,Craft-repair,2,0,40,1,0
34,HS-grad,Never-married,Handlers-cleaners,2,0,40,1,0
18,HS-grad,Never-married,Other-service,1,0,12,1,0
33,Bachelors,Married-civ-spouse,Prof-specialty,1,0,65,1,0
44,Some-college,Married-civ-spouse,Exec-managerial,2,0,38,1,1
43,Some-college,Divorced,Adm-clerical,1,1,40,1,0
30,Some-college,Never-married,Craft-repair,2,0,45,1,0
40,7th-8th,Married-civ-spouse,Machine-op-inspct,1,0,40,0,1
37,Some-college,Married-civ-spouse,Adm-clerical,1,0,42,1,1
34,HS-grad,Married-civ-spouse,Adm-clerical,2,0,40,1,0
41,Bachelors,Divorced,Exec-managerial,1,1,40,1,0
53,Bachelors,Divorced,?,1,1,50,1,0
31,Masters,Married-civ-spouse,Prof-specialty,1,1,50,1,0
58,Doctorate,Married-civ-spouse,Prof-specialty,1,0,1,1,1
38,Some-college,Divorced,Machine-op-inspct,2,1,28,1,0
24,Some-college,Married-civ-spouse,Machine-op-inspct,1,0,40,1,0
41,Bachelors,Married-civ-spouse,Craft-repair,2,0,40,1,0
47,Some-college,Married-civ-spouse,Tech-support,1,0,45,1,0
41,Bachelors,Married-civ-spouse,Tech-support,1,0,24,1,0
23,5th-6th,Married-civ-spouse,Transport-moving,1,0,40,0,0
36,Some-college,Divorced,Craft-repair,1,0,40,1,0
40,Masters,Never-married,Exec-managerial,1,1,55,1,1
35,Masters,Married-civ-spouse,Prof-specialty,1,0,40,1,1
24,HS-grad,Never-married,Sales,1,0,40,1,0
26,Masters,Never-married,Prof-specialty,1,1,40,1,0
19,HS-grad,Never-married,?,1,0,40,0,0
51,Bachelors,Married-civ-spouse,Exec-managerial,1,0,50,1,1
42,Some-college,Never-married,Prof-specialty,1,1,40,1,0
37,HS-grad,Divorced,Adm-clerical,1,1,35,1,0
18,11th,Never-married,Sales,1,1,40,1,0
36,Bachelors,Married-civ-spouse,Other-service,2,0,36,1,1
35,HS-grad,Divorced,Craft-repair,1,0,60,1,0
58,HS-grad,Married-civ-spouse,Sales,1,1,35,1,1
17,11th,Never-married,Sales,1,1,12,1,0
44,HS-grad,Married-civ-spouse,Transport-moving,2,0,40,1,0
37,HS-grad,Married-civ-spouse,Craft-repair,1,0,40,1,1
35,Some-college,Never-married,Sales,3,1,40,1,0
60,HS-grad,Married-civ-spouse,Craft-repair,3,0,40,1,0
54,7th-8th,Married-civ-spouse,Machine-op-inspct,1,0,40,1,1
37,Bachelors,Never-married,Exec-managerial,2,0,60,1,1
50,Assoc-acdm,Divorced,Sales,1,1,40,1,0
38,Bachelors,Married-civ-spouse,Sales,1,0,50,0,0
45,Bachelors,Married-civ-spouse,Prof-specialty,1,0,55,1,0
25,10th,Never-married,Craft-repair,1,0,40,1,0
31,Some-college,Married-civ-spouse,Handlers-cleaners,1,0,40,1,0
64,1st-4th,Divorced,?,1,0,40,1,0
90,HS-grad,Never-married,Other-service,2,0,40,1,0
54,HS-grad,Married-civ-spouse,Adm-clerical,2,0,20,1,0
53,Preschool,Never-married,Machine-op-inspct,1,1,35,1,0
18,HS-grad,Never-married,Sales,1,1,40,1,0
60,10th,Divorced,?,3,1,10,1,0
66,HS-grad,Married-civ-spouse,Farming-fishing,1,0,50,1,0
75,Assoc-voc,Widowed,Adm-clerical,1,1,20,0,0
65,HS-grad,Divorced,Adm-clerical,1,1,40,1,0
35,11th,Separated,Transport-moving,2,0,40,1,0
41,HS-grad,Divorced,Sales,2,1,38,1,0
25,Some-college,Never-married,Adm-clerical,1,0,42,1,0
33,Some-college,Divorced,Craft-repair,3,1,40,1,0
28,Prof-school,Never-married,Prof-specialty,1,0,55,1,1
59,HS-grad,Married-civ-spouse,Other-service,1,0,40,1,0
40,Some-college,Never-married,Adm-clerical,1,1,38,1,0
41,Bachelors,Married-civ-spouse,Exec-managerial,1,0,50,0,1
38,Masters,Married-civ-spouse,Exec-managerial,1,0,70,1,1
23,HS-grad,Never-married,Transport-moving,1,0,40,1,0
40,Bachelors,Married-civ-spouse,Prof-specialty,1,0,40,1,1
41,HS-grad,Married-civ-spouse,Other-service,1,1,20,1,0
24,Assoc-acdm,Married-civ-spouse,Protective-serv,1,0,50,1,0
20,Some-college,Never-married,?,1,0,20,1,0
38,Some-college,Divorced,Craft-repair,1,0,40,1,0
56,HS-grad,Married-civ-spouse,Adm-clerical,1,0,35,0,0
58,HS-grad,Married-civ-spouse,Adm-clerical,1,0,45,1,1
32,HS-grad,Never-married,Other-service,1,1,34,1,0
40,Assoc-acdm,Married-civ-spouse,Tech-support,1,0,60,1,1
45,HS-grad,Married-civ-spouse,Adm-clerical,1,0,40,0,0
41,Prof-school,Married-civ-spouse,Prof-specialty,1,1,40,1,1
42,Bachelors,Married-civ-spouse,Adm-clerical,2,1,40,1,0
59,10th,Widowed,Other-service,2,1,30,1,0
19,Some-college,Never-married,Adm-clerical,1,0,40,1,0
58,Some-college,Never-married,Transport-moving,1,0,20,1,0
42,HS-grad,Married-civ-spouse,Farming-fishing,3,0,40,0,1
20,HS-grad,Never-married,Other-service,1,1,40,1,0
32,HS-grad,Separated,Other-service,1,1,30,1,0
45,Assoc-voc,Widowed,Exec-managerial,1,1,45,1,0
50,7th-8th,Divorced,Craft-repair,1,0,40,1,0
36,Bachelors,Divorced,Prof-specialty,1,1,40,1,0
45,HS-grad,Married-civ-spouse,Sales,1,0,60,1,0
17,11th,Never-married,Other-service,1,0,12,1,0
59,Some-college,Married-civ-spouse,Sales,1,0,40,1,0
26,11th,Married-civ-spouse,Craft-repair,1,0,40,1,0
37,Some-college,Married-civ-spouse,Exec-managerial,3,0,75,0,1
19,Some-college,Never-married,?,1,0,24,0,0
64,HS-grad,Married-civ-spouse,Exec-managerial,1,0,40,1,1
33,Bachelors,Never-married,Prof-specialty,1,1,45,1,0
33,HS-grad,Married-civ-spouse,Craft-repair,1,1,40,1,1
61,HS-grad,Married-civ-spouse,Exec-managerial,1,0,40,1,1
17,9th,Never-married,Other-service,1,0,24,1,0
50,Masters,Married-civ-spouse,Farming-fishing,1,0,98,1,0
27,Masters,Never-married,Prof-specialty,1,0,35,1,0
30,HS-grad,Divorced,Prof-specialty,1,1,40,1,0
43,HS-grad,Married-civ-spouse,Handlers-cleaners,2,0,40,1,0
44,Some-college,Married-civ-spouse,Craft-repair,1,0,40,1,1
35,Some-college,Never-married,Exec-managerial,1,1,40,1,0
25,Some-college,Never-married,Tech-support,1,1,40,1,0
24,Some-college,Married-civ-spouse,Machine-op-inspct,1,1,48,1,1
22,Bachelors,Never-married,Prof-specialty,1,1,15,0,0
42,Some-college,Married-civ-spouse,Craft-repair,1,0,40,1,1
34,Assoc-acdm,Divorced,Sales,2,1,45,1,0
60,Bachelors,Divorced,Prof-specialty,1,1,42,1,0
21,HS-grad,Never-married,Handlers-cleaners,1,0,40,1,0
57,Masters,Married-civ-spouse,Sales,1,0,40,1,1
41,Prof-school,Married-civ-spouse,Prof-specialty,1,0,60,1,1
50,Some-college,Divorced,Other-service,1,0,45,1,0
25,Bachelors,Never-married,Exec-managerial,1,1,40,1,0
50,7th-8th,Married-civ-spouse,Craft-repair,1,0,40,0,0
36,Bachelors,Married-civ-spouse,Prof-specialty,1,0,45,1,0
31,HS-grad,Divorced,Prof-specialty,1,1,40,1,0
29,Bachelors,Never-married,Protective-serv,1,0,56,1,0
21,Some-college,Never-married,Sales,1,0,45,1,0
27,Bachelors,Never-married,Tech-support,2,1,40,1,0
65,HS-grad,Married-civ-spouse,Transport-moving,1,0,16,1,0
37,Bachelors,Divorced,Sales,1,1,60,1,0
39,Masters,Married-civ-spouse,?,3,1,40,0,0
24,HS-grad,Never-married,Craft-repair,1,0,40,1,0
38,HS-grad,Divorced,Sales,1,0,80,1,0
48,Bachelors,Married-civ-spouse,Adm-clerical,1,0,40,1,1
21,Some-college,Never-married,Other-service,3,1,25,1,0
31,HS-grad,Married-civ-spouse,Transport-moving,1,0,45,1,1
55,HS-grad,Married-civ-spouse,Sales,1,0,40,1,1
24,Some-college,Married-civ-spouse,Adm-clerical,3,1,40,0,0
43,HS-grad,Divorced,Adm-clerical,1,1,40,1,0
26,Assoc-acdm,Never-married,Tech-support,1,0,45,1,0
46,Assoc-acdm,Never-married,Prof-specialty,1,1,33,1,0
35,Assoc-acdm,Married-civ-spouse,Adm-clerical,1,0,40,1,1
41,Some-college,Married-civ-spouse,Farming-fishing,1,0,54,1,1
26,Bachelors,Never-married,Sales,1,0,40,1,0
34,Masters,Married-civ-spouse,Exec-managerial,3,0,35,0,1
19,Some-college,Never-married,?,2,1,25,1,0
36,Bachelors,Divorced,Prof-specialty,2,1,40,1,1
22,Some-college,Never-married,Sales,1,0,15,1,0
24,Some-college,Never-married,Machine-op-inspct,1,0,40,1,0
77,Some-college,Married-civ-spouse,Sales,1,0,40,1,0
22,5th-6th,Married-civ-spouse,Machine-op-inspct,1,1,40,0,0
29,Some-college,Never-married,Tech-support,1,1,40,1,0
62,HS-grad,Widowed,Other-service,1,1,24,1,0
39,HS-grad,Married-civ-spouse,Exec-managerial,1,0,40,1,0
43,Some-college,Married-civ-spouse,Craft-repair,1,0,50,1,0
35,HS-grad,Divorced,Transport-moving,1,0,45,1,0
29,11th,Never-married,Exec-managerial,1,1,40,1,0
76,Masters,Married-civ-spouse,Craft-repair,1,0,10,1,0
63,HS-grad,Married-civ-spouse,Farming-fishing,1,0,45,1,0
23,Assoc-voc,Never-married,?,2,1,15,1,0
43,Some-college,Married-civ-spouse,Prof-specialty,1,1,50,1,1
58,HS-grad,Married-civ-spouse,Handlers-cleaners,1,0,40,1,0
66,HS-grad,Never-married,Transport-moving,1,0,55,1,0
41,Some-college,Never-married,Craft-repair,2,0,45,1,0
26,Bachelors,Never-married,Adm-clerical,1,0,40,1,0
47,Assoc-voc,Never-married,Other-service,1,0,40,1,0
55,10th,Married-civ-spouse,Adm-clerical,1,0,40,1,0
53,HS-grad,Married-civ-spouse,Transport-moving,1,0,40,1,0
17,5th-6th,Never-married,Other-service,1,0,48,0,0
30,HS-grad,Never-married,Craft-repair,1,0,40,1,0
49,Masters,Never-married,Prof-specialty,1,0,60,1,0
19,HS-grad,Never-married,Sales,2,0,30,0,0
45,HS-grad,Married-civ-spouse,Other-service,2,0,40,1,0
26,Assoc-acdm,Never-married,Sales,1,0,40,1,0
38,Assoc-voc,Married-civ-spouse,Craft-repair,1,0,40,1,1
36,HS-grad,Married-civ-spouse,Protective-serv,1,0,40,1,1
33,HS-grad,Never-married,Farming-fishing,1,0,20,1,0
22,Some-college,Never-married,Protective-serv,2,1,40,1,0
43,Bachelors,Never-married,Sales,1,0,42,1,0
67,11th,Married-civ-spouse,?,1,0,8,1,0
30,Assoc-voc,Divorced,?,1,1,40,1,0
56,Assoc-acdm,Married-spouse-absent,Other-service,1,0,25,0,0
31,Bachelors,Never-married,Prof-specialty,1,0,25,1,0
33,Bachelors,Married-civ-spouse,Exec-managerial,1,0,40,1,1
26,HS-grad,Married-civ-spouse,Other-service,1,0,40,1,0
33,Bachelors,Married-civ-spouse,Exec-managerial,1,0,40,1,1
46,11th,Married-civ-spouse,Transport-moving,1,0,30,1,0
59,Bachelors,Married-civ-spouse,?,1,0,40,1,1
38,HS-grad,Married-civ-spouse,Adm-clerical,1,0,40,1,1
65,11th,Widowed,Other-service,3,0,40,1,0
40,Assoc-voc,Married-civ-spouse,Tech-support,1,0,40,1,1
42,HS-grad,Married-civ-spouse,Adm-clerical,1,1,35,1,0
26,9th,Married-civ-spouse,Craft-repair,1,0,40,0,0
36,10th,Married-civ-spouse,Other-service,1,1,24,1,0
62,Masters,Married-civ-spouse,Prof-specialty,1,0,40,1,1
43,Bachelors,Married-civ-spouse,Transport-moving,1,0,45,1,0
43,Bachelors,Divorced,Exec-managerial,1,0,45,1,1
22,HS-grad,Married-spouse-absent,Sales,1,0,55,1,0
28,HS-grad,Married-civ-spouse,Craft-repair,1,0,40,1,0
56,Some-college,Married-civ-spouse,Sales,1,0,45,1,0
22,Assoc-acdm,Never-married,Sales,1,1,15,1,0
57,Bachelors,Divorced,Exec-managerial,1,1,45,1,1
39,HS-grad,Divorced,Sales,1,1,40,1,0
26,Some-college,Never-married,Adm-clerical,1,1,15,1,0
17,11th,Never-married,Other-service,1,0,10,1,0
40,Assoc-voc,Married-civ-spouse,Machine-op-inspct,1,0,38,1,1
45,HS-grad,Married-civ-spouse,Machine-op-inspct,2,0,40,1,0
44,HS-grad,Never-married,Craft-repair,2,0,40,1,0
20,Some-college,Never-married,Adm-clerical,1,1,10,1,0
33,HS-grad,Married-civ-spouse,Craft-repair,1,1,40,1,0
23,Some-college,Never-married,Sales,1,0,40,1,0
46,Masters,Divorced,Exec-managerial,1,0,30,1,0
38,HS-grad,Married-civ-spouse,Sales,1,0,50,1,0
54,HS-grad,Divorced,Transport-moving,1,0,40,1,0
46,5th-6th,Divorced,Craft-repair,1,1,45,1,0
25,Some-college,Married-civ-spouse,Craft-repair,1,0,40,1,0
46,Some-college,Divorced,Sales,1,1,40,1,0
36,Some-college,Married-civ-spouse,Transport-moving,1,1,40,1,0
23,HS-grad,Never-married,Other-service,1,1,25,1,0
29,HS-grad,Separated,Machine-op-inspct,1,0,40,1,0
44,Some-college,Married-civ-spouse,Adm-clerical,1,1,6,1,1
19,Some-college,Never-married,Adm-clerical,1,1,16,1,0
19,HS-grad,Never-married,Other-service,1,1,40,1,0
35,HS-grad,Married-civ-spouse,Other-service,1,1,40,1,1
27,Bachelors,Never-married,Craft-repair,1,0,50,1,0
46,Assoc-acdm,Separated,Craft-repair,1,0,40,1,0
34,Bachelors,Married-civ-spouse,Exec-managerial,1,0,45,0,1
34,HS-grad,Never-married,Other-service,1,1,35,1,0
44,Some-college,Married-civ-spouse,Tech-support,1,0,40,1,0
45,Some-college,Divorced,Handlers-cleaners,1,1,40,1,0
20,HS-grad,Never-married,?,1,1,35,1,0
25,Bachelors,Married-civ-spouse,Exec-managerial,1,0,55,1,1
52,Bachelors,Married-civ-spouse,Exec-managerial,1,0,50,1,1
20,Some-college,Never-married,Handlers-cleaners,1,0,40,1,0
28,Some-college,Never-married,Other-service,1,1,40,1,0
50,Bachelors,Married-civ-spouse,Protective-serv,1,0,40,1,1
34,Assoc-voc,Divorced,Tech-support,1,1,64,1,0
28,7th-8th,Married-civ-spouse,Handlers-cleaners,3,0,40,0,0
41,Masters,Married-civ-spouse,Exec-managerial,1,0,65,1,1
28,HS-grad,Married-civ-spouse,Adm-clerical,1,0,40,1,0
46,HS-grad,Married-civ-spouse,Craft-repair,1,0,25,1,0
28,Some-college,Married-civ-spouse,?,1,1,40,1,1
32,Some-college,Married-civ-spouse,Exec-managerial,1,0,50,1,0
41,Some-college,Divorced,Other-service,2,1,24,1,0
24,HS-grad,Never-married,Handlers-cleaners,2,1,40,1,0
33,Some-college,Divorced,Exec-managerial,1,1,40,1,0
46,Doctorate,Married-civ-spouse,Exec-managerial,1,0,60,1,1
31,Some-college,Married-civ-spouse,Machine-op-inspct,1,0,40,1,0
35,12th,Divorced,Craft-repair,1,0,50,1,1
52,1st-4th,Married-civ-spouse,Machine-op-inspct,1,0,40,0,0
30,11th,Never-married,Other-service,1,1,19,1,0
34,11th,Separated,Machine-op-inspct,2,0,40,1,0
34,HS-grad,Divorced,Transport-moving,1,1,40,1,0
20,Some-college,Married-civ-spouse,Sales,1,0,30,1,0
17,11th,Never-married,Handlers-cleaners,1,0,18,1,0
32,Bachelors,Married-civ-spouse,Exec-managerial,1,1,40,1,1
29,HS-grad,Divorced,Farming-fishing,1,0,40,1,0
33,10th,Never-married,Craft-repair,1,1,35,1,0
25,HS-grad,Married-civ-spouse,Transport-moving,1,0,60,1,0
36,Masters,Never-married,Prof-specialty,1,0,40,1,0
23,HS-grad,Never-married,Handlers-cleaners,1,0,72,0,0
63,HS-grad,Married-civ-spouse,Exec-managerial,1,0,40,1,1
47,Masters,Married-civ-spouse,Prof-specialty,1,0,40,1,0
80,HS-grad,Widowed,?,1,0,24,1,0
17,11th,Never-married,?,1,0,40,1,0
40,Bachelors,Married-spouse-absent,Prof-specialty,1,1,40,1,0
30,Assoc-acdm,Married-civ-spouse,Other-service,1,1,25,1,1
27,Some-college,Never-married,Craft-repair,3,0,40,0,0
33,Masters,Married-civ-spouse,Prof-specialty,1,0,50,1,1
34,HS-grad,Never-married,Farming-fishing,2,0,60,1,0
34,Some-college,Never-married,Protective-serv,1,1,40,1,0
23,Some-college,Married-civ-spouse,Adm-clerical,1,0,40,1,0
